cause,effect,lag,F_stat,p_value,significant_5pct
EUA 碳期货,MSCI 能源,1,0.7126512296315716,0.39866483578679646,False
EUA 碳期货,MSCI 能源,2,0.6449068391703224,0.524819368767563,False
EUA 碳期货,MSCI 能源,3,0.9766413290009468,0.4027771207084919,False
EUA 碳期货,MSCI 能源,4,1.1750181058447668,0.31983107080551904,False
EUA 碳期货,MSCI 能源,5,1.2482680817475023,0.2838981149813685,False
MSCI 能源,EUA 碳期货,1,2.253592594376902,0.13346058088395304,False
MSCI 能源,EUA 碳期货,2,2.910384667828234,0.05468304748135295,False
MSCI 能源,EUA 碳期货,3,2.3041661604448382,0.07507469850242669,False
MSCI 能源,EUA 碳期货,4,3.0529349324255515,0.01605539011241538,True
MSCI 能源,EUA 碳期货,5,3.708685845611062,0.0024092275488733386,True
EUA 碳期货,MSCI 材料,1,0.015129672240575216,0.9021171462398513,False
EUA 碳期货,MSCI 材料,2,0.4566212597200975,0.6334855289049186,False
EUA 碳期货,MSCI 材料,3,0.3782907141175225,0.7686723166210379,False
EUA 碳期货,MSCI 材料,4,0.5380655617273767,0.7077927918711803,False
EUA 碳期货,MSCI 材料,5,0.49867505015459257,0.7774452846984186,False
MSCI 材料,EUA 碳期货,1,0.0019020237343613194,0.9652178310090258,False
MSCI 材料,EUA 碳期货,2,1.8162271816717024,0.1629035563139539,False
MSCI 材料,EUA 碳期货,3,2.155445479208181,0.0913498484468893,False
MSCI 材料,EUA 碳期货,4,2.9303981732386544,0.019782752286033545,True
MSCI 材料,EUA 碳期货,5,3.2490642560084266,0.006316389719450193,True
