direction,target,tau,model,pred_mean,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,rmse,mae,elapsed_seconds
股+碳 -> 碳,eua_return,0.05,L-ER,-0.03187763690948486,0.0017779242480173707,6.949040583841623e-05,0.17182481288909912,-0.03331470472772846,0.03701813891530037,0.032694391906261444,1.3064439296722412
股+碳 -> 碳,eua_return,0.05,QRNN,-0.04425635561347008,0.0022377436980605125,0.00011599122527098379,-0.042363762855529785,-0.7247767838712869,0.04816455766558647,0.04475487023591995,0.6275532245635986
股+碳 -> 碳,eua_return,0.05,QRF,-0.038348787074425704,0.0019572929061685523,9.274386436076313e-05,0.0882730533122198,-0.3790910797109055,0.04306152838319482,0.038877161316046155,0.5054059028625488
股+碳 -> 碳,eua_return,0.05,Q-GBM,-0.03523557994928264,0.0018589322896510462,7.945537652993418e-05,0.1340904290811743,-0.18149272475065792,0.03974237942975259,0.03587855367038239,1.4144368171691895
股+碳 -> 碳,eua_return,0.05,ERNN,-0.03225330635905266,0.001802310231141746,7.1185428656915e-05,0.1604655385017395,-0.05851950792425176,0.03747505694627762,0.033081263303756714,0.2189319133758545
股+碳 -> 碳,eua_return,0.1,L-ER,-0.02246999181807041,0.002982358681038022,9.052084088067222e-05,0.07506227493286133,-0.045426399986096655,0.028954267501831055,0.024339525029063225,0.19019699096679688
股+碳 -> 碳,eua_return,0.1,QRNN,-0.026323534548282623,0.003080513095483184,0.00010531299368681597,0.044621050357818604,-0.21626117025249791,0.03191446512937546,0.027618668973445892,0.5784139633178711
股+碳 -> 碳,eua_return,0.1,QRF,-0.027524670413982717,0.003138622598927382,0.00011079984066443275,0.026599180621609597,-0.27962883925864457,0.03294078112681954,0.0286957967616862,0.47888803482055664
股+碳 -> 碳,eua_return,0.1,Q-GBM,-0.027339624049107114,0.0030792410658921385,0.00010898877238526128,0.04501554993348689,-0.2587127875206905,0.032697244029960944,0.028428996603715225,1.413769245147705
股+碳 -> 碳,eua_return,0.1,ERNN,-0.021925782784819603,0.0029351087287068367,8.79256716903643e-05,0.08971619606018066,-0.015454756355930854,0.028581667691469193,0.023809658363461494,0.36582326889038086
股+碳 -> 碳,eua_return,0.25,L-ER,-0.010134709067642689,0.0052329497411847115,0.0001247240020538213,0.0072286128997802734,-0.04573263986623699,0.02030206099152565,0.015782514587044716,0.19420814514160156
股+碳 -> 碳,eua_return,0.25,QRNN,-0.012844754382967949,0.005227027926594019,0.00013424803580259874,0.008352041244506836,-0.12558569774026496,0.021818941459059715,0.0171256922185421,0.5743539333343506
股+碳 -> 碳,eua_return,0.25,QRF,-0.01218417749832166,0.005213153117164225,0.00012905190789940942,0.010984314531403916,-0.08201941971993665,0.021261755976337875,0.016767654503892566,0.4707767963409424
股+碳 -> 碳,eua_return,0.25,Q-GBM,-0.012558547758586986,0.005214376439730971,0.00012913066405442736,0.010752231341114471,-0.08267974075306928,0.021389339169805118,0.016957286279158722,1.4114329814910889
股+碳 -> 碳,eua_return,0.25,ERNN,-0.010511648841202259,0.005270456895232201,0.00012667412246275986,0.00011289119720458984,-0.06208317809236252,0.020528309047222137,0.01604599691927433,0.39421892166137695
股+碳 -> 碳,eua_return,0.5,L-ER,0.001405345625244081,0.006851780693978071,0.00014664411788265606,-0.01176142692565918,-0.031470932100004845,0.017125660553574562,0.013703561387956142,0.19596171379089355
股+碳 -> 碳,eua_return,0.5,QRNN,0.0008654607809148729,0.006762596778571606,0.00014360710453206044,0.0014078021049499512,-0.010109072948956577,0.016947396099567413,0.013525193557143211,0.5808842182159424
股+碳 -> 碳,eua_return,0.5,QRF,0.0023587126640641034,0.006864725473999976,0.00014541332492253557,-0.013672911813760846,-0.022813734115333828,0.017053640369289812,0.013729450947999952,0.4908022880554199
股+碳 -> 碳,eua_return,0.5,Q-GBM,0.0013321749908026934,0.0067412617072224006,0.0001415256999595337,0.004558243451942001,0.0045311891051906805,0.016824131475920753,0.013482523414444801,1.394374132156372
股+碳 -> 碳,eua_return,0.5,ERNN,0.000907771522179246,0.006919936742633581,0.00014991420593527633,-0.021825671195983887,-0.05447220088859961,0.01731555350124836,0.013839873485267162,0.5508697032928467
股+碳 -> 碳,eua_return,0.75,L-ER,0.012681306339800358,0.005510954651981592,0.0001329032947715651,0.06731206178665161,-0.01576162377109669,0.020951593294739723,0.017113303765654564,0.19673895835876465
股+碳 -> 碳,eua_return,0.75,QRNN,0.017062421888113022,0.006071842275559902,0.00016572449816091016,-0.02761399745941162,-0.26660957232034055,0.024315113201737404,0.02042563632130623,0.5930047035217285
股+碳 -> 碳,eua_return,0.75,QRF,0.018762418641536324,0.005933374062783795,0.00016600217235563226,-0.00417926063702545,-0.2687317980439019,0.024854199652834977,0.020998697925932463,0.4466700553894043
股+碳 -> 碳,eua_return,0.75,Q-GBM,0.01642988641555597,0.005728885316781714,0.00015005538651143873,0.0304289328791979,-0.1468527045957717,0.023183376468184337,0.019423454320938126,1.3454546928405762
股+碳 -> 碳,eua_return,0.75,ERNN,0.012394312769174576,0.005587778985500336,0.00013712633865348457,0.054310142993927,-0.04803776800159243,0.0211134422570467,0.017123455181717873,0.3199608325958252
股+碳 -> 碳,eua_return,0.9,L-ER,0.02440795488655567,0.003169909119606018,9.57356784923141e-05,0.11491072177886963,-0.024826963732806684,0.02938288263976574,0.025467365980148315,0.17941904067993164
股+碳 -> 碳,eua_return,0.9,QRNN,0.03161169961094856,0.00355498562566936,0.00013255320430712397,0.007391214370727539,-0.4189495498695417,0.03583628684282303,0.03200051560997963,0.5900917053222656
股+碳 -> 碳,eua_return,0.9,QRF,0.03472844825482662,0.003679429618988823,0.00014924274999204214,-0.027355565996287634,-0.5976070441257484,0.038332830762749175,0.034742802609193685,0.4236409664154053
股+碳 -> 碳,eua_return,0.9,Q-GBM,0.031403117157210204,0.003439182513361125,0.00012817095675027892,0.039725266290142724,-0.3720386643069813,0.03534989338861142,0.031602043519845156,1.3378422260284424
股+碳 -> 碳,eua_return,0.9,ERNN,0.02289416454732418,0.0031937172170728445,9.210982069756656e-05,0.10826307535171509,0.013986954894368187,0.02826879173517227,0.024303950369358063,0.46070122718811035
股+碳 -> 碳,eua_return,0.95,L-ER,0.03274400532245636,0.001874027424491942,6.981083366710644e-05,0.1598759889602661,-0.027014124646776327,0.036565881222486496,0.032768987119197845,0.1950068473815918
股+碳 -> 碳,eua_return,0.95,QRNN,0.0459003672003746,0.0023198809940367937,0.00011914675729404285,-0.03999960422515869,-0.7528139433249543,0.048708975315093994,0.04550142586231232,0.3257629871368408
股+碳 -> 碳,eua_return,0.95,QRF,0.0474123316918166,0.0023671709222407925,0.0001252255414619932,-0.061199624602189306,-0.842241283942802,0.0500166527919819,0.04695677323039062,0.4459090232849121
