model,tau,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,target,label
L-ER,0.05,0.0018469204660505056,6.845585720937635e-05,0.13406223058700562,-0.05632786057994288,eua_return,exclude_covid
QRNN,0.05,0.00226614810526371,0.00011478847646269008,-0.062494754791259766,-0.7712767132577287,eua_return,exclude_covid
QRF,0.05,0.00189109351629304,9.210322155046283e-05,0.11335145239636923,-0.42122534051907223,eua_return,exclude_covid
Q-GBM,0.05,0.001841822107231598,7.901569236171602e-05,0.13645259620883743,-0.2192744443971708,eua_return,exclude_covid
ERNN,0.05,0.0017685875063762069,6.943013062353145e-05,0.17078900337219238,-0.07136166766596985,eua_return,exclude_covid
L-ER,0.1,0.00298611749894917,8.92319788505424e-05,0.0779794454574585,-0.05470647554047958,eua_return,exclude_covid
QRNN,0.1,0.0030944610480219126,0.00010886948967019016,0.04452633857727051,-0.2868184391188018,eua_return,exclude_covid
QRF,0.1,0.0031609200299709834,0.0001213066040349768,0.02400586557765061,-0.43382296851009694,eua_return,exclude_covid
Q-GBM,0.1,0.0030245108589470457,0.0001027607320860402,0.06612478966887492,-0.21461398658389297,eua_return,exclude_covid
ERNN,0.1,0.002925705863162875,8.790697352762545e-05,0.09663271903991699,-0.03904514299795214,eua_return,exclude_covid
L-ER,0.25,0.005204395856708288,0.00012109508767687893,0.005681395530700684,-0.028093161042760162,eua_return,exclude_covid
QRNN,0.25,0.0052237543277442455,0.000133409347003874,0.00198286771774292,-0.1326408024068111,eua_return,exclude_covid
QRF,0.25,0.005182550906456048,0.00012636406596645163,0.009854942584110571,-0.07282660687540021,eua_return,exclude_covid
Q-GBM,0.25,0.005219130505449119,0.00012636909522169054,0.0028662781601634935,-0.07286930508071521,eua_return,exclude_covid
ERNN,0.25,0.005305045749992132,0.00012511119911905058,-0.013548135757446289,-0.06218981010502089,eua_return,exclude_covid
L-ER,0.5,0.00696385744959116,0.00015188160446446286,-0.02496492862701416,-0.07660659184225693,eua_return,exclude_covid
QRNN,0.5,0.0069552394561469555,0.00015522334678164064,-0.023696541786193848,-0.10029439669260398,eua_return,exclude_covid
QRF,0.5,0.006794638113071989,0.00014475971573804067,-5.861627675285419e-05,-0.026123372519753385,eua_return,exclude_covid
Q-GBM,0.5,0.00681547531906434,0.0001426072185916801,-0.0031255091774495813,-0.010865483818454758,eua_return,exclude_covid
ERNN,0.5,0.006834232714027166,0.00014733937833008714,-0.0058863162994384766,-0.044409206153911196,eua_return,exclude_covid
L-ER,0.75,0.005577936768531799,0.00013520272660436298,0.04742807149887085,-0.050339425290639284,eua_return,exclude_covid
QRNN,0.75,0.006045869551599026,0.0001670876553519151,-0.03248310089111328,-0.29804151368222165,eua_return,exclude_covid
QRF,0.75,0.0059728622648387835,0.00016714697575977947,-0.020015299127043695,-0.2985023517486507,eua_return,exclude_covid
Q-GBM,0.75,0.005719913453899712,0.00014794605747208445,0.023182023297871,-0.1493375975616642,eua_return,exclude_covid
ERNN,0.75,0.00554949464276433,0.00013494437716560372,0.05228531360626221,-0.04833240510809067,eua_return,exclude_covid
L-ER,0.9,0.0031423517502844334,9.55849248527267e-05,0.10223037004470825,-0.055670192319900114,eua_return,exclude_covid
QRNN,0.9,0.0036397415678948164,0.00013960696912296427,-0.03987383842468262,-0.5418635958579598,eua_return,exclude_covid
QRF,0.9,0.003517293006305024,0.00013533967787701933,-0.004890290567973077,-0.494734279417814,eua_return,exclude_covid
Q-GBM,0.9,0.0035413662084336746,0.00013537809538606107,-0.011768002216845375,-0.4951585745587166,eua_return,exclude_covid
ERNN,0.9,0.0031516815070062876,8.991757442149113e-05,0.09956490993499756,0.0069218213151458485,eua_return,exclude_covid
L-ER,0.95,0.0018748969305306673,6.671328956916232e-05,0.1394454836845398,-0.025366145099310344,eua_return,exclude_covid
QRNN,0.95,0.0022711222991347313,0.00011578017674957829,-0.042417049407958984,-0.7795116127433164,eua_return,exclude_covid
QRF,0.95,0.0021580667253097343,0.00010125779524851958,0.009474025237873995,-0.5563063348509001,eua_return,exclude_covid
Q-GBM,0.95,0.002106321227058448,0.00010143178382274633,0.033224569877568055,-0.5589804945992551,eua_return,exclude_covid
ERNN,0.95,0.0018978228326886892,6.506217226463903e-05,0.12892276048660278,1.1104270032369357e-05,eua_return,exclude_covid
L-ER,0.05,0.0014483812265098095,3.840000135443137e-05,0.05330294370651245,0.04320794771408132,msci_energy_return,exclude_covid
QRNN,0.05,0.0014649443328380585,4.489180583080174e-05,0.04247689247131348,-0.11854483116358216,msci_energy_return,exclude_covid
QRF,0.05,0.001405853069751988,3.6956888705959914e-05,0.08110039842222061,0.07916520458671505,msci_energy_return,exclude_covid
Q-GBM,0.05,0.0014739400426077027,4.3435593120168946e-05,0.036597104603051545,-0.08226116713161713,msci_energy_return,exclude_covid
ERNN,0.05,0.0014190466608852148,3.807383994887092e-05,0.07247674465179443,0.0513347349431299,msci_energy_return,exclude_covid
L-ER,0.1,0.0022431269753724337,5.160848676282708e-05,0.03188866376876831,-0.005515510319138217,msci_energy_return,exclude_covid
QRNN,0.1,0.002328120172023773,5.9297104972191196e-05,-0.004793524742126465,-0.1553169353825512,msci_energy_return,exclude_covid
QRF,0.1,0.0021946037712961314,4.8331327399578275e-05,0.0528308027028348,0.05833512309853783,msci_energy_return,exclude_covid
Q-GBM,0.1,0.0022888755126127046,5.557460713445034e-05,0.012144055182169877,-0.0827895363487563,msci_energy_return,exclude_covid
ERNN,0.1,0.0022535952739417553,4.886388515723597e-05,0.0273706316947937,0.04795901794500901,msci_energy_return,exclude_covid
L-ER,0.25,0.0035331728868186474,6.43847731254202e-05,0.02784562110900879,0.019476346574714642,msci_energy_return,exclude_covid
QRNN,0.25,0.0036676886957138777,6.837721152598644e-05,-0.009166479110717773,-0.04132499039626292,msci_energy_return,exclude_covid
