target,hidden_dim,tau,pinball_loss,quantile_r_squared,expectile_r_squared
eua_return,3,0.05,0.0017558886,0.18208927,-0.004865854922603496
eua_return,3,0.1,0.0029492995,0.08531517,-0.039661999587798924
eua_return,3,0.25,0.005227575,0.00824827,-0.04218765392702051
eua_return,3,0.5,0.00685146,-0.011714101,-0.03289566438823455
eua_return,3,0.75,0.0054808827,0.07240152,0.0038395968373361455
eua_return,3,0.9,0.0034073426,0.048615456,-0.24899619676152485
eua_return,3,0.95,0.0018704432,0.16148275,-0.017141759327324868
eua_return,5,0.05,0.0017849712,0.16854227,0.03611661789406584
eua_return,5,0.1,0.0029883275,0.07321113,-0.03260823837254079
eua_return,5,0.25,0.005247656,0.0044386387,-0.04889338297818502
eua_return,5,0.5,0.006848658,-0.011300325,-0.031759036925234296
eua_return,5,0.75,0.005498794,0.06937021,-0.014946583113845113
eua_return,5,0.9,0.0031570215,0.118509114,0.005296967155522636
eua_return,5,0.95,0.0019214051,0.13863659,0.016551580226077167
eua_return,7,0.05,0.0017846546,0.16868973,0.019707262399460856
eua_return,7,0.1,0.002995181,0.07108563,-0.026485862902800195
eua_return,7,0.25,0.005282673,-0.0022046566,-0.017384533290952575
eua_return,7,0.5,0.006903183,-0.01935172,-0.05371022909759171
eua_return,7,0.75,0.005563617,0.05839932,-0.03146869153089771
eua_return,7,0.9,0.003208025,0.10426819,-0.04550863437030639
eua_return,7,0.95,0.0018427751,0.1738863,0.015773988499423464
eua_return,10,0.05,0.0018313008,0.14696145,0.013286188749067951
eua_return,10,0.1,0.0029227815,0.09353936,0.0070637296668935035
eua_return,10,0.25,0.0053020557,-0.0058819056,-0.05276765101258962
eua_return,10,0.5,0.0068171173,-0.0066429377,-0.028427938210235704
eua_return,10,0.75,0.005529236,0.064218104,-0.022756839635197368
eua_return,10,0.9,0.0031430642,0.122406244,0.039957783990271833
eua_return,10,0.95,0.0018759343,0.15902108,0.026254099041222778
msci_energy_return,3,0.05,0.0015934817,-0.017005205,-0.13129523317848713
msci_energy_return,3,0.1,0.0022587713,0.043102443,0.016917656756045618
msci_energy_return,3,0.25,0.0035691673,0.016333044,0.00802758386271496
msci_energy_return,3,0.5,0.0041575194,-0.011683941,-0.026393403766270973
msci_energy_return,3,0.75,0.0030657733,0.018166125,0.018067457468826875
msci_energy_return,3,0.9,0.0017696663,0.11003584,-0.05449380182716479
msci_energy_return,3,0.95,0.001150228,0.17142099,-0.16365808267216408
msci_energy_return,5,0.05,0.0014518744,0.0733726,0.008574677178875612
msci_energy_return,5,0.1,0.0022655365,0.040236473,0.04721900643749943
msci_energy_return,5,0.25,0.0036520483,-0.0065090656,-0.05906109355938027
msci_energy_return,5,0.5,0.004193884,-0.020532846,-0.04536114762413823
msci_energy_return,5,0.75,0.0032563827,-0.042877793,-0.07607449065464267
msci_energy_return,5,0.9,0.0016997724,0.14518541,0.022967402145074423
msci_energy_return,5,0.95,0.0010327076,0.256078,0.11194735139926226
msci_energy_return,7,0.05,0.0015143125,0.033522844,-0.00710259513494238
msci_energy_return,7,0.1,0.0021841857,0.07469964,0.06243142159052273
msci_energy_return,7,0.25,0.0035713778,0.015723825,0.0007646093908278973
msci_energy_return,7,0.5,0.0041385526,-0.007068634,-0.008399082973555183
msci_energy_return,7,0.75,0.0031494463,-0.008630753,-0.0643631059932619
msci_energy_return,7,0.9,0.0017560412,0.11688787,-0.014837990589352756
msci_energy_return,7,0.95,0.0009874775,0.28866005,0.10991335832112004
msci_energy_return,10,0.05,0.0015268149,0.025543451,-0.0011402094268491147
msci_energy_return,10,0.1,0.0022775813,0.0351339,-0.0007626733855701229
