model,tau,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,target
L-ER,0.05,0.002491657854989171,9.593640275901671e-05,-0.07931303977966309,-0.13028344956484594,eua_return
QRNN,0.05,0.0026866209227591753,0.0001408317490087784,-0.1637653112411499,-0.6592220523187367,eua_return
QRF,0.05,0.002302942603754728,8.42951703592154e-05,0.002432917779692234,0.006868788122081582,eua_return
Q-GBM,0.05,0.00213880382828546,9.226310564736555e-05,0.07353301339524532,-0.08700616574732822,eua_return
ERNN,0.05,0.0025148463901132345,9.245824830971108e-05,-0.08935761451721191,-0.08930525676189549,eua_return
L-ER,0.1,0.004077115561813116,0.00013623533847999695,-0.11732721328735352,-0.11994920014956834,eua_return
QRNN,0.1,0.003939208574593067,0.00015185735271987802,-0.07953405380249023,-0.24837301843258208,eua_return
QRF,0.1,0.003867561792939849,0.00012680683837062063,-0.0598993061088815,-0.04244037407022816,eua_return
Q-GBM,0.1,0.003754526498105304,0.00013500968293767167,-0.028922159013352156,-0.1098734594526154,eua_return
ERNN,0.1,0.004024384543299675,0.00013175161688663126,-0.10287630558013916,-0.08308989133726241,eua_return
L-ER,0.25,0.007092789281159639,0.00020728605158142993,-0.05173850059509277,-0.05948702804891415,eua_return
QRNN,0.25,0.007244178559631109,0.00023417187412703628,-0.07418692111968994,-0.19690669525843152,eua_return
QRF,0.25,0.006878046514646093,0.0002010661953687814,-0.01989589815866788,-0.02769590209830075,eua_return
Q-GBM,0.25,0.0068024504237748805,0.0002031891461834165,-0.008686299207540715,-0.03854679549962636,eua_return
ERNN,0.25,0.0071360827423632145,0.00020715953955873046,-0.058158278465270996,-0.05884039579401934,eua_return
L-ER,0.5,0.00891686137765646,0.00025477141328380604,-0.01731395721435547,-0.03901918072956878,eua_return
QRNN,0.5,0.008878138847649097,0.0002499952436146899,-0.012896180152893066,-0.01954081055974788,eua_return
QRF,0.5,0.008829203337032866,0.000252516490156063,-0.007313203000614665,-0.029823061154780284,eua_return
Q-GBM,0.5,0.008892897259836817,0.00025106752411949493,-0.014579966143582812,-0.02391382869885006,eua_return
ERNN,0.5,0.008932732045650482,0.0002545971596667507,-0.019124627113342285,-0.038308532513199545,eua_return
L-ER,0.75,0.007289666682481766,0.0002252536495846604,0.008515596389770508,-0.03726153111604824,eua_return
QRNN,0.75,0.007606663275510073,0.0002566372704979908,-0.03459978103637695,-0.18177871314861682,eua_return
QRF,0.75,0.007483983427469534,0.00025171658215071134,-0.017913861998284597,-0.15911963198098555,eua_return
Q-GBM,0.75,0.007256230913603824,0.000234259151859283,0.01306328315651828,-0.07873060873174009,eua_return
ERNN,0.75,0.007316697854548693,0.00022582870100210746,0.004839062690734863,-0.03990956241246213,eua_return
L-ER,0.9,0.004397117532789707,0.00015037813665454857,-0.025867700576782227,-0.05057681875218889,eua_return
QRNN,0.9,0.004398209974169731,0.00017972158483136835,-0.026122570037841797,-0.2555770077599875,eua_return
QRF,0.9,0.004375439773164001,0.00018233653436854858,-0.020810207648485957,-0.2738456565615035,eua_return
Q-GBM,0.9,0.004246348477202227,0.0001700083154496012,0.009307384974908461,-0.18771783704674738,eua_return
ERNN,0.9,0.0043455930426716805,0.00014781176591673438,-0.013846874237060547,-0.0326475528000163,eua_return
L-ER,0.95,0.0028018206357955933,0.00011323481319364067,-0.09581351280212402,-0.17290360450458708,eua_return
QRNN,0.95,0.0025776447728276253,0.00012124440922200372,-0.008136630058288574,-0.2558682316129246,eua_return
QRF,0.95,0.002605285334709319,0.00012953759825407789,-0.018947085444786405,-0.3417703586551051,eua_return
Q-GBM,0.95,0.002530203954175844,0.00012362355732348698,0.010417818601046513,-0.28051181343354337,eua_return
ERNN,0.95,0.0028447501827031374,0.00011010133838140836,-0.11260366439819336,-0.14044659063901377,eua_return
L-ER,0.05,0.0013205278664827347,3.145781639690925e-05,0.015413284301757812,-0.06842962680550602,msci_energy_return
QRNN,0.05,0.0013640990946441889,4.123137461600935e-05,-0.017073392868041992,-0.4003776243664865,msci_energy_return
QRF,0.05,0.0012931429413556696,3.680573091027602e-05,0.03583153317083676,-0.2500655749467,msci_energy_return
Q-GBM,0.05,0.001263597522488785,3.521008668407454e-05,0.05786062237643175,-0.19587129955248317,msci_energy_return
ERNN,0.05,0.0012824077857658267,3.0060931088724184e-05,0.04383569955825806,-0.020985976245548432,msci_energy_return
L-ER,0.1,0.0020915279164910316,3.9560409230018315e-05,0.028813600540161133,-0.08294025174208675,msci_energy_return
QRNN,0.1,0.002141715493053198,4.537297839212876e-05,0.005509316921234131,-0.24205551961216232,msci_energy_return
QRF,0.1,0.002083086237033068,4.4363704664040974e-05,0.03273343114651528,-0.21442731337149712,msci_energy_return
Q-GBM,0.1,0.0020194237374322713,4.1136628933919424e-05,0.062294668918987606,-0.12608823216409593,msci_energy_return
ERNN,0.1,0.002038614358752966,3.54917991398245e-05,0.05338364839553833,0.02843528054061717,msci_energy_return
L-ER,0.25,0.003436509519815445,5.046384899675026e-05,-0.010002970695495605,-0.07307558372737555,msci_energy_return
QRNN,0.25,0.00341920368373394,5.020121862037225e-05,-0.004916667938232422,-0.06749094739782158,msci_energy_return
QRF,0.25,0.003395807811225822,4.8779145589497985e-05,0.0019594533830766814,-0.037251639892628585,msci_energy_return
Q-GBM,0.25,0.0033943079475083284,4.8426790717374146e-05,0.0024002689084753337,-0.029759080018572526,msci_energy_return
ERNN,0.25,0.0034059653989970684,4.822365864691881e-05,-0.0010259151458740234,-0.025439630166627092,msci_energy_return
L-ER,0.5,0.004020916763693094,5.3819024740741723e-05,-0.029462456703186035,-0.06190624418658275,msci_energy_return
QRNN,0.5,0.004050110466778278,5.341681869195504e-05,-0.03693687915802002,-0.053970293717140905,msci_energy_return
QRF,0.5,0.0038938671981811656,5.0309095981767045e-05,0.0030655929500792434,0.007348360179811886,msci_energy_return
Q-GBM,0.5,0.003945325233223382,5.1164261679499975e-05,-0.010109043739309875,-0.009524962936155346,msci_energy_return
ERNN,0.5,0.004014421720057726,5.335449231131838e-05,-0.027799606323242188,-0.052740528348956595,msci_energy_return
L-ER,0.75,0.003061970230191946,4.644690285907138e-05,0.01224672794342041,-0.058535908101289724,msci_energy_return
QRNN,0.75,0.0032368628308176994,5.381760037322447e-05,-0.04417145252227783,-0.2265158487693928,msci_energy_return
QRF,0.75,0.003082196747339201,5.0797095736844906e-05,0.005721879720783307,-0.1576778332854445,msci_energy_return
Q-GBM,0.75,0.0029693944974598678,4.5518183439333236e-05,0.04211047466369622,-0.0373701727383382,msci_energy_return
ERNN,0.75,0.003075210377573967,4.624825008043376e-05,0.007975578308105469,-0.054008564263745784,msci_energy_return
L-ER,0.9,0.001787461806088686,3.490671761062494e-05,0.14889657497406006,-0.040032249015292676,msci_energy_return
QRNN,0.9,0.0019306198228150606,4.293576940355356e-05,0.08073157072067261,-0.2792547644865868,msci_energy_return
QRF,0.9,0.0020224319452846217,5.0836763535609764e-05,0.03701507507647461,-0.5146618511190422,msci_energy_return
Q-GBM,0.9,0.0017724285776876594,3.522415121493797e-05,0.1560546673541312,-0.0494900613793583,msci_energy_return
ERNN,0.9,0.0018584661884233356,3.595890490372165e-05,0.11508768796920776,-0.07138176543306085,msci_energy_return
L-ER,0.95,0.0011423121904954314,2.7835262471245676e-05,0.17245113849639893,-0.06282972538888498,msci_energy_return
