date,corr_eua_energy,corr_eua_materials,corr_energy_materials
2018-01-03,,,
2018-01-04,,,
2018-01-05,,,
2018-01-08,,,
2018-01-09,,,
2018-01-10,,,
2018-01-11,,,
2018-01-12,,,
2018-01-15,,,
2018-01-16,,,
2018-01-17,,,
2018-01-18,,,
2018-01-19,,,
2018-01-22,,,
2018-01-23,,,
2018-01-24,,,
2018-01-25,,,
2018-01-26,,,
2018-01-29,,,
2018-01-30,,,
2018-01-31,,,
2018-02-01,,,
2018-02-02,,,
2018-02-05,,,
2018-02-06,,,
2018-02-07,,,
2018-02-08,,,
2018-02-09,,,
2018-02-12,,,
2018-02-13,,,
2018-02-14,,,
2018-02-15,,,
2018-02-16,,,
2018-02-19,,,
2018-02-20,,,
2018-02-21,,,
2018-02-22,,,
2018-02-23,,,
2018-02-26,,,
2018-02-27,,,
2018-02-28,,,
2018-03-01,,,
2018-03-02,,,
2018-03-05,,,
2018-03-06,,,
2018-03-07,,,
2018-03-08,,,
2018-03-09,,,
2018-03-12,,,
2018-03-13,,,
2018-03-14,,,
2018-03-15,,,
2018-03-16,,,
2018-03-19,,,
2018-03-20,,,
2018-03-21,,,
2018-03-22,,,
2018-03-23,,,
2018-03-26,,,
2018-03-27,0.23784409628527947,0.1727327014976928,0.8094069897208498
2018-03-28,0.2789534519314176,0.21684243008271584,0.8150359591587499
2018-03-29,0.2995220179377494,0.24534652214531513,0.8165003933684551
2018-04-03,0.2991957520548833,0.2519533159216239,0.8188100795152131
2018-04-04,0.29883129076791654,0.2624359597128748,0.8147435158939035
2018-04-05,0.23194490145186974,0.19887905292067737,0.8278013211018848
2018-04-06,0.22081271685654277,0.18294738779940609,0.8296378771078377
2018-04-09,0.2438223004513599,0.201401397831671,0.8271982690589532
2018-04-10,0.22629936147442498,0.18852308339573134,0.8385879088224905
2018-04-11,0.22806365709333565,0.20183521138592736,0.8327310457415549
2018-04-12,0.244129362138656,0.2186652906906919,0.8277241715537254
2018-04-13,0.2492568397947467,0.22524386771446236,0.8304745002991021
2018-04-16,0.25716176746423874,0.22343321576681455,0.8330868614047788
2018-04-17,0.25137421195311843,0.1963908797840519,0.8380651879190071
2018-04-18,0.2607177998301562,0.19534662287212082,0.8561408332698812
2018-04-19,0.24888932803031272,0.19281466953307613,0.8553070238837392
2018-04-20,0.2593328890238617,0.19243365841767332,0.8572687791741558
2018-04-23,0.2532860945235386,0.20987148371193917,0.8587010031415656
2018-04-24,0.2511751557309945,0.20143151974091217,0.8567183172990175
2018-04-25,0.24391046060594604,0.20040917978107606,0.8582071827874115
2018-04-26,0.2351588740035971,0.194467240512174,0.8575398898736171
2018-04-27,0.23779940208362696,0.1976965934351921,0.8533310937451064
2018-04-30,0.23928010088967172,0.19816483230086113,0.8534978897899149
2018-05-02,0.1848140085292939,0.13591086609452097,0.8358224780098367
2018-05-03,0.21287089374178472,0.14702892886573413,0.8237185180746459
2018-05-04,0.1959760283107272,0.1262957039684944,0.8227636102377531
2018-05-07,0.20469968108147482,0.13049146121916216,0.825889751321647
2018-05-08,0.22604070610357793,0.15011244577316232,0.8047286344009249
2018-05-09,0.2542633984559914,0.16607305918691156,0.8107117616058059
2018-05-10,0.24203437897138463,0.1660533415034501,0.7997709112187393
2018-05-11,0.2546043212233657,0.15401107021953447,0.8026259680116924
2018-05-14,0.2788477276407184,0.19434951894960953,0.8012491685376391
2018-05-15,0.2802522944249038,0.2259094897907679,0.8256906865877159
2018-05-16,0.26460921043874774,0.2554248729058647,0.8104932833065509
2018-05-17,0.27252527251128605,0.2641094891508718,0.8109847557552015
2018-05-18,0.26952606074773616,0.2614324300208467,0.81013665893581
2018-05-21,0.2554146634842104,0.2629081646547562,0.8195333385587886
2018-05-22,0.2385284687455187,0.2605470455661903,0.8117994815732937
2018-05-23,0.24217059857596032,0.26201229379780144,0.8167164585747726
2018-05-24,0.23711806042848765,0.2736727386949005,0.8074898306470792
2018-05-25,0.3043288512247478,0.319949475923139,0.7856887916503664
2018-05-28,0.295715471199214,0.3112567272134975,0.7728795896012828
2018-05-29,0.29107440918154764,0.29954459161787056,0.7714029777983541
2018-05-30,0.21985255085019217,0.2821311089153768,0.7629233133260016
2018-05-31,0.22365647292237412,0.2637898787935554,0.7584592508085212
2018-06-01,0.22519130989903266,0.2741446208368609,0.7617351040350405
2018-06-04,0.20490048897146323,0.292214960702265,0.7449648367688289
2018-06-05,0.22210111567128393,0.29470914276301724,0.7376386060152905
2018-06-06,0.228789887511386,0.29620361311799054,0.7190536744847166
2018-06-07,0.22442607747639653,0.2999798946697401,0.7077980238583469
2018-06-08,0.23835931170555108,0.31039803418877115,0.7086282418821692
2018-06-11,0.22128347549073446,0.2928583948533062,0.706050612500083
2018-06-12,0.23004330941738374,0.2966479361083621,0.7058540549716521
2018-06-13,0.23266990989977077,0.2940850945686564,0.7139553139132855
2018-06-14,0.22040956103412618,0.28829979064226585,0.700365439876291
2018-06-15,0.24453886231796493,0.32164679125300016,0.7205431373662217
2018-06-18,0.15902216226767013,0.2886872514749311,0.695906524341827
2018-06-19,0.1446752020018139,0.2929800035285178,0.6683779543077181
2018-06-20,0.15381884497892848,0.3259606515912227,0.6706249558340204
2018-06-21,0.11411653810579801,0.3044165509092619,0.6701249563414846
2018-06-22,0.14661220327770036,0.30681127140941583,0.6849589987147556
2018-06-25,0.10133239850987029,0.2629872997561207,0.6905240921925034
2018-06-26,0.0828539523401148,0.2515774184452612,0.6819892109882352
2018-06-27,0.09224774734330275,0.2523391987766174,0.6769310843241092
2018-06-28,0.09716636247436738,0.25104393648077417,0.6800970411456756
2018-06-29,0.1511224474056451,0.3114386968121632,0.6605368767796349
2018-07-02,0.1678331914201442,0.3384556019581211,0.6647741688188661
2018-07-03,0.16610762756843112,0.3351464926240389,0.6611081651706584
2018-07-04,0.17214796894743356,0.3403607367742944,0.6248365843005742
2018-07-05,0.1721301501064614,0.34278542472155704,0.6248665039496074
2018-07-06,0.17431056916616805,0.3350710572284321,0.6311640926871704
2018-07-09,0.17534927638607611,0.33701338163557626,0.636989253893336
2018-07-10,0.17474118001807867,0.33669044825075733,0.6369184486612203
2018-07-11,0.1562899448480622,0.3203666471902105,0.6646135877097888
2018-07-12,0.1499210578012246,0.315532082822174,0.647967745240256
2018-07-13,0.15871900422174362,0.31960479323133295,0.6489213764809234
2018-07-16,0.1510791949599675,0.30684574270295845,0.6443032635872955
2018-07-17,0.15368256568712363,0.3036822959856305,0.6368482340367209
2018-07-18,0.15795056730433504,0.3367900979942069,0.6334782179249144
2018-07-19,0.16121781096294777,0.31374443731920526,0.6253273833509915
2018-07-20,0.15146131351386036,0.31100722979986734,0.6269275791771899
2018-07-23,0.14971989217683287,0.2998662941689052,0.6303008456022512
2018-07-24,0.14088889678260624,0.2679148129417339,0.6385023227259465
2018-07-25,0.13720125078945283,0.28191756590520123,0.6401290347247993
2018-07-26,0.1312818424090096,0.27609731790032044,0.6411549734550136
2018-07-27,0.1332135420970711,0.27591930980807255,0.6366007807980228
2018-07-30,0.12160377185485781,0.27635604524388085,0.6318352585388685
2018-07-31,0.12074143478835453,0.27984357659443637,0.6299461361692252
2018-08-01,0.06521498312978702,0.25069588664963643,0.6188959780319223
2018-08-02,0.0660808485720719,0.23881177955876257,0.625168347041346
2018-08-03,0.06682568511843662,0.23852333788543514,0.6210237477104201
2018-08-06,0.06702213802623792,0.24320915701822535,0.6156748694384114
2018-08-07,0.0598732326603641,0.2250981259268402,0.6204079151133969
2018-08-08,0.07008299548729058,0.17934351611319285,0.629028276788158
2018-08-09,0.05718389341673091,0.1777213193393266,0.6164347628086612
2018-08-10,0.048267744778780056,0.13643403960924727,0.6066221701101019
2018-08-13,0.03412611160281972,0.12449551432079385,0.6095184753367876
2018-08-14,0.05139837437299489,0.12430125060738294,0.6134710886688166
2018-08-15,0.06162396004920652,0.13109927013252287,0.6514306968868661
2018-08-16,0.07714980104617324,0.12898936127785526,0.6584346874368646
2018-08-17,0.039054385484756864,0.12431379914441469,0.6698853495111871
2018-08-20,0.05519059294594217,0.14508244536139497,0.6726391545893362
2018-08-21,0.07350231755640065,0.15670121157605676,0.681273684901208
2018-08-22,0.1831108763830019,0.19041246584301377,0.6900466959698037
2018-08-23,0.1716301852965188,0.19203607523870853,0.6909906038980742
2018-08-24,0.17066748757463732,0.18219595002994282,0.6949696458322715
2018-08-27,0.23033206142746182,0.18466119365212025,0.7110807526959633
2018-08-28,0.22686248643231144,0.17310296240344117,0.7108808615058606
2018-08-29,0.2252490764008202,0.1696446525491715,0.717182241250973
2018-08-30,0.23056827017539666,0.17041315630252057,0.7311129138982819
2018-08-31,0.23372502434190315,0.17397030084804704,0.7356253068920688
2018-09-03,0.22393914830892786,0.18641978413204327,0.7328312972597893
2018-09-04,0.21164820027564046,0.18636718140791592,0.7325560110816598
2018-09-05,0.21457732480909575,0.18729697845880544,0.7328290854018802
2018-09-06,0.13592194790252296,0.16676520278579096,0.7235799867054483
2018-09-07,0.04584352556847468,0.07545897097501411,0.7136933350019101
2018-09-10,0.04397503869162545,0.06850546768906748,0.7347747961213116
