target,index,model,tau,prediction,actual,pinball
eua_return,1000,L-ER,0.05,-0.04525523632764816,-0.019750477746129036,0.0012752379989251494
eua_return,1000,L-ER,0.1,-0.03554829582571983,-0.019750477746129036,0.0015797818778082728
eua_return,1000,L-ER,0.5,-0.006891818717122078,-0.019750477746129036,0.006429329514503479
eua_return,1000,L-ER,0.9,0.020368842408061028,-0.019750477746129036,0.004011932294815779
eua_return,1000,L-ER,0.95,0.02665848843753338,-0.019750477746129036,0.002320448402315378
eua_return,1000,ERNN,0.05,-0.040657252073287964,-0.019750477746129036,0.001045338693074882
eua_return,1000,ERNN,0.1,-0.05231776833534241,-0.019750477746129036,0.0032567293383181095
eua_return,1000,ERNN,0.5,-0.01340155303478241,-0.019750477746129036,0.003174462355673313
eua_return,1000,ERNN,0.9,0.015238001942634583,-0.019750477746129036,0.0034988478291779757
eua_return,1000,ERNN,0.95,0.024788498878479004,-0.019750477746129036,0.0022269487380981445
eua_return,1001,L-ER,0.05,-0.016232918947935104,-0.03193590044975281,0.014917831867933273
eua_return,1001,L-ER,0.1,-0.009598254226148129,-0.03193590044975281,0.020103881135582924
eua_return,1001,L-ER,0.5,0.010114199481904507,-0.03193590044975281,0.021025050431489944
eua_return,1001,L-ER,0.9,0.033081747591495514,-0.03193590044975281,0.006501764990389347
eua_return,1001,L-ER,0.95,0.04308167099952698,-0.03193590044975281,0.003750878619030118
eua_return,1001,ERNN,0.05,-0.014097362756729126,-0.03193590044975281,0.016946610063314438
eua_return,1001,ERNN,0.1,-0.02228495478630066,-0.03193590044975281,0.008685850538313389
eua_return,1001,ERNN,0.5,0.009797707200050354,-0.03193590044975281,0.02086680382490158
eua_return,1001,ERNN,0.9,0.025300830602645874,-0.03193590044975281,0.0057236733846366405
eua_return,1001,ERNN,0.95,0.036971092224121094,-0.03193590044975281,0.003445349633693695
eua_return,1002,L-ER,0.05,-0.04134681075811386,0.013266576454043388,0.00273066945374012
eua_return,1002,L-ER,0.1,-0.030906688421964645,0.013266576454043388,0.0044173263013362885
eua_return,1002,L-ER,0.5,-0.0035434511955827475,0.013266576454043388,0.00840501394122839
eua_return,1002,L-ER,0.9,0.019749082624912262,0.013266576454043388,0.0006482506287284195
eua_return,1002,L-ER,0.95,0.02502531185746193,0.013266576454043388,0.0005879367818124592
eua_return,1002,ERNN,0.05,-0.03862437605857849,0.013266576454043388,0.002594547811895609
eua_return,1002,ERNN,0.1,-0.032060205936431885,0.013266576454043388,0.0045326785184443
eua_return,1002,ERNN,0.5,-0.00434151291847229,0.013266576454043388,0.00880404468625784
eua_return,1002,ERNN,0.9,0.016748830676078796,0.013266576454043388,0.0003482254396658391
eua_return,1002,ERNN,0.95,0.02504807710647583,0.013266576454043388,0.0005890750326216221
eua_return,1003,L-ER,0.05,-0.022591454908251762,0.0541774183511734,0.003838443895801902
eua_return,1003,L-ER,0.1,-0.011233863420784473,0.0541774183511734,0.006541128735989332
eua_return,1003,L-ER,0.5,0.009283004328608513,0.0541774183511734,0.02244720607995987
eua_return,1003,L-ER,0.9,0.030713804066181183,0.0541774183511734,0.021117251366376877
eua_return,1003,L-ER,0.95,0.04304070398211479,0.0541774183511734,0.010579878464341164
